Produttore,Vendite_NA,Vendite_EU,Vendite_JP
Nordic Games,3.58,0.76,0
NovaLogic,0.24,0.48,0
Number None,0.02,0,0
O-Games,0.54,0.44,0
O3 Entertainment,0.02,0.19,0
Ocean,1,2.46,0.42
Office Create,0,0,0.06
On Demand,0.08,0.12,0
Ongakukan,0,0,0.01
Origin Systems,0.03,0.05,0
Otomate,0,0,0.01
Oxygen Interactive,1.44,2.41,0
P2 Games,0.33,0.02,0
Pacific Century Cyber Works,0.09,0.11,0.03
Pack In Soft,0.06,0.25,0.11
Pack-In-Video,0,0,0.11
Palcom,0.44,3.38,0.31
Panther Software,0.02,0.02,0.12
Paon,0,0,0.25
Paon Corporation,0,0,0.03
Paradox Development,0.01,0,0
Paradox Interactive,0.57,0.05,0
Parker Bros.,0.27,5.05,0
Performance Designed Products,0,0.34,0
Phantagram,0.01,0.03,0.01
Phantom EFX,0,0.09,0
Phenomedia,0,0.16,0
Phoenix Games,0,0.02,0
Piacci,0,0,0.01
Pinnacle,1.72,0,0
Pioneer LDC,0.16,0.23,0.32
Play It,1.23,2.53,0
Playlogic Game Factory,0.16,0.94,0
Playmates,0.11,0.16,0
Playmore,0,0,0.04
PlayV,0.3,0.1,0
Plenty,0,0,0.02
PM Studios,0,0.09,0
Pony Canyon,0.02,0.03,0
PopCap Games,0.34,1.1,0
Popcorn Arcade,0,0.45,0
PopTop Software,0.04,0.06,0
Pow,0,0,0.05
PQube,0.92,1.91,1.05
Princess Soft,0,0,0.07
Prototype,0,0,0.61
Psygnosis,2.48,4.03,0.72
Quelle,0.05,1.21,0
Quest,0,0,1.11
Quinrose,0,0,0.22
Quintet,0,0,0.02
Rage Software,0.47,0.81,0
Rain Games,0.01,0,0
Rebellion,0.13,0.35,0
Rebellion Developments,0.17,0.08,0
RED Entertainment,0,0,0.02
Red Orb,4.41,1.54,0
Red Storm Entertainment,1.2,1.83,0
RedOctane,2.11,7.64,0.03
Reef Entertainment,0.13,0.17,0
responDESIGN,0.04,0.09,0
Revolution (Japan),0,0,0.02
Revolution Software,0.07,0,0
Rising Star Games,2.98,11.3,2.53
Riverhillsoft,0,0,0.04
Rocket Company,0,0,2.22
Rondomedia,1.13,1.17,0
RTL,1.38,0.83,0
Russel,1.12,0,0.09
Sammy Corporation,0.31,0.41,1.91
Saurus,0.01,0.01,0
Scholastic Inc.,0.03,3.07,0
SCi,1.23,2.01,0
Screenlife,0.01,0.22,0.66
SCS Software,0.12,0,0
Sears,0.01,0.2,0
Sega,89.2,117.8,61.43
Seta Corporation,0,0,0.59
Seventh Chord,0,0,0.08
Shogakukan,0,0,0.44
Simon & Schuster Interactive,0.02,0.08,0
Slightly Mad Studios,1.32,0.25,0.02
Slitherine Software,0.1,0.08,0
SNK,0.03,0.04,2.48
SNK Playmore,0.14,0.23,0.56
Societa,0,0,0.04
Sold Out,0.01,0.01,0
Sonnet,0,0,0.06
Sony Computer Entertainment,202.52,291.22,80.5
Sony Computer Entertainment America,0,1.04,0
Sony Computer Entertainment Europe,10.6,9.36,2.9
Sony Music Entertainment,0,0,0.14
Sony Online Entertainment,1.15,2.36,0
SouthPeak Games,0.91,4.77,0.07
Spike,0.33,3.72,2.12
SPS,0.04,0.07,0
Square,0.29,0.53,2.6
Square EA,0.3,0.45,0
Square Enix,36.02,53.85,54.68
SquareSoft,5.75,13.46,45.33
SSI,0.07,0.11,0
Stainless Games,0.01,0.01,0
Starfish,0.19,0.39,0.1
Starpath Corp.,0.02,0.3,0
Sting,0.07,0.4,0.15
Storm City Games,0.1,1.35,0
Strategy First,0.02,0,0
Success,0.49,1.52,0.22
Summitsoft,0.01,0.03,0
Sunflowers,0.02,0,0
Sunrise Interactive,0,0,0.17
Sunsoft,0.25,0.5,0.17
Sweets,0,0,0.05
Swing! Entertainment,0.16,0.28,0
Syscom,0.04,0.06,0.15
System 3,0.1,0.08,0
System 3 Arcade Software,0.63,0.96,0
System Soft,0,0,0.05
T&E Soft,0,0,0.12
Taito,0.09,0.41,2.14
Takara,0.06,0.16,3.14
Takara Tomy,0.03,0.76,1.85
Take-Two Interactive,128.14,240.49,6.23
Takuyo,0,0,0.01
TalonSoft,0.33,0.49,0
TDK Core,0.12,0.24,0.25
TDK Mediactive,2.42,6.21,0
Team17 Software,0.04,0,0
Technos Japan Corporation,0,0,0.02
TechnoSoft,0.02,0.03,0
Tecmo Koei,7.08,14.88,30.81
Telegames,0.06,0.91,0
Telltale Games,1,1.28,0.03
Telstar,0.1,0.16,0
Tetris Online,0.13,0.2,0.06
TGL,0,0,0.1
The Adventure Company,0.13,0.34,0
The Learning Company,0.02,0.03,0
THQ,100.33,227.97,5.01
Tigervision,0.09,1.73,0
Time Warner Interactive,0.12,0.18,0
Titus,1.08,1.96,0.07
Tivola,0.07,0.08,0
TOHO,0,0,0.11
Tommo,0,0.2,0
Tomy Corporation,0.75,1.84,2.12
TopWare Interactive,0.1,0,0
Touchstone,0.5,0.88,0.02
Tradewest,0.06,0.02,0
Trion Worlds,0.3,0.72,0
Tripwire Interactive,0.07,0.04,0
Tru Blu Entertainment,0.25,0.01,0
Tryfirst,0,0,0.03
TYO,0.16,0.23,0
Type-Moon,0,0,0.1
U.S. Gold,0.13,0.19,0
Ubisoft,176.92,273.03,7.5
Ubisoft Annecy,0.66,1.27,2.28
UEP Systems,0.46,1.52,0.2
UFO Interactive,0,0.92,0
UIG Entertainment,0.01,0,0
Ultravision,0.03,0.44,0
Universal Gamex,0.04,0.58,0
Universal Interactive,7.13,9.88,0.24
Unknown,7.53,20.09,7.26
Valcon Games,0.08,0.31,0
ValuSoft,0.09,0.26,0
Valve,1.03,1.23,0.02
Valve Software,1.15,1.74,0.01
Vap,0,0,0.05
Vatical Entertainment,0.07,0.14,0
Vic Tokai,0.08,0.19,0
Victor Interactive,0.08,0.11,0.68
Video System,1.44,0.67,0.37
Views,0,0,0.03
Vir2L Studios,0.01,0.22,0
Virgin Interactive,13.34,20.99,8.94
Virtual Play Games,0,0.06,0
Visco,0,0.02,0
Vivendi Games,17.64,39.8,0.23
Wanadoo,0.21,0.3,0.06
Warashi,0,0,0.02
Wargaming.net,0.23,0,0
Warner Bros. Interactive Entertainment,57.12,89.98,1.04
Warp,0,0,0.07
WayForward Technologies,0,0.05,0
Westwood Studios,0,1.55,0
White Park Bay Software,0.01,0.13,0
Wizard Video Games,0.03,0.58,0
Xicat Interactive,0.06,0.09,0
Xing Entertainment,0.03,0.04,0.16
Xplosiv,0.86,0.61,0
XS Games,0.17,1.18,0
Xseed Games,0.04,0.41,0.37
Yacht Club Games,0.11,0.16,0.01
Yamasa Entertainment,0,0,0.04
Yeti,0,0,0.24
Yuke's,0.01,0.01,0.05
Yumedia,0,0,0.06
Zenrin,0,0,0.06
Zoo Digital Publishing,2.45,9.52,0.14
Zoo Games,0,4.52,0
Zushi Games,0.05,1.67,0.01
